True Kinship	Weir-Goudet	Standard	Popkin	Weir-Goudet	Standard	Popkin	Weir-Goudet	Standard	True Kinship	Weir-Goudet	Standard	Popkin	Weir-Goudet	Standard	Popkin	Weir-Goudet	Standard
1	0.6308147	0.5840074	0.5559164	0.6097149	0.5717464	0.3426629	0.5139591	0.5618405	0.0490745	0.0491565	0.0490874	0.0484945	0.0485793	0.0485089	0.047310462326340286	0.0488252	0.048761
0.6308147	1	0.9694136	0.4842781	0.9158653	0.9075608	0.3151683	0.5531014	0.7854277	0.0491124	0.049198	0.0491244	0.048467	0.0485519	0.0484833	0.04730966104148001	0.0488078	0.0487403
0.5840074	0.9694136	1	0.4657829	0.8720473	0.9504429	0.3088107	0.5330591	0.795621	0.0490814	0.049152	0.049093	0.0484903	0.0485698	0.0485012	0.0472917322927314	0.0488588	0.0487742
0.5559164	0.4842781	0.4657829	1	0.5210507	0.4772198	0.3771382	0.4558856	0.4667933	0.049063	0.0491428	0.0490768	0.0484028	0.0484793	0.0484152	0.047215610231005414	0.0487509	0.0486763
0.6097149	0.9158653	0.8720473	0.5210507	1	0.9300927	0.3202826	0.5776763	0.804481	0.0490967	0.0491731	0.049106	0.0483962	0.0484835	0.0484167	0.047319777262840965	0.0488245	0.0487593
0.5717464	0.9075608	0.9504429	0.4772198	0.9300927	1	0.3124485	0.5418756	0.8341877	0.0490495	0.0491381	0.0490607	0.048472	0.0485468	0.0484917	0.04733299846303548	0.0488515	0.0487635
0.3426629	0.3151683	0.3088107	0.3771382	0.3202826	0.3124485	1	0.3512945	0.3150881	0.0483784	0.0484766	0.0483943	0.0477753	0.0478544	0.04779	0.04668786398990782	0.0482259	0.048152
0.5139591	0.5531014	0.5330591	0.4558856	0.5776763	0.5418756	0.3512945	1	0.5827236	0.0490546	0.049134	0.0490629	0.0483658	0.0484578	0.0483797	0.047326488023545756	0.0487946	0.0487334
0.5618405	0.7854277	0.795621	0.4667933	0.804481	0.8341877	0.3150881	0.5827236	1	0.0490785	0.0491751	0.0490953	0.0484242	0.0484894	0.0484441	0.047308759596012204	0.0488136	0.0487393
0.0490745	0.0491124	0.0490814	0.049063	0.0490967	0.0490495	0.0483784	0.0490546	0.0490785	1	1	1	0.2356526	0.2357282	0.2356741	0.18635552107804865	0.2097002	0.2095448
0.0491565	0.049198	0.049152	0.0491428	0.0491731	0.0491381	0.0484766	0.049134	0.0491751	1	1	1	0.23552	0.2356993	0.2355644	0.1862061816122152	0.2095968	0.2094336
0.0490874	0.0491244	0.049093	0.0490768	0.049106	0.0490607	0.0483943	0.0490629	0.0490953	1	1	1	0.2356281	0.2357326	0.2356779	0.18633999618388086	0.2096991	0.2095338
0.0484945	0.048467	0.0484903	0.0484028	0.0483962	0.048472	0.0477753	0.0483658	0.0484242	0.2356526	0.23552	0.2356281	1	1	1	0.22476851631591258	0.2570116	0.2568738
0.0485793	0.0485519	0.0485698	0.0484793	0.0484835	0.0485468	0.0478544	0.0484578	0.0484894	0.2357282	0.2356993	0.2357326	1	1	1	0.22454575912475655	0.2569538	0.2567647
0.0485089	0.0484833	0.0485012	0.0484152	0.0484167	0.0484917	0.04779	0.0483797	0.0484441	0.2356741	0.2355644	0.2356779	1	1	1	0.22473185753355507	0.2570173	0.2568331
0.047310462326340286	0.04730966104148001	0.0472917322927314	0.047215610231005414	0.047319777262840965	0.04733299846303548	0.04668786398990782	0.047326488023545756	0.047308759596012204	0.18635552107804865	0.1862061816122152	0.18633999618388086	0.22476851631591258	0.22454575912475655	0.22473185753355507	1	0.7370545669981816	0.7386201774545483
0.0488252	0.0488078	0.0488588	0.0487509	0.0488245	0.0488515	0.0482259	0.0487946	0.0488136	0.2097002	0.2095968	0.2096991	0.2570116	0.2569538	0.2570173	0.7370545669981816	1	1
0.048761	0.0487403	0.0487742	0.0486763	0.0487593	0.0487635	0.048152	0.0487334	0.0487393	0.2095448	0.2094336	0.2095338	0.2568738	0.2567647	0.2568331	0.7386201774545483	1	1
