pca_popkin_rom	pca_wg_rom	pca_std_rom	pca_popkin_mor	pca_wg_mor	pca_std_mor	lmm_popkin_rom	lmm_wg_rom	lmm_std_rom	lmm_popkin_mor	lmm_wg_mor	lmm_std_mor
1	0.9995524781310929	0.9995025617601943	0.998535137617826	0.9985178515938716	0.9985143147829014	0.994421812167448	0.9886744749274661	0.9946254956581946	0.9835745047071969	0.9930856171009671	0.9930946817830762
0.9995524781310929	1	0.999994825708946	0.9989006513620606	0.9988993205196703	0.9989014692872066	0.9942386822438288	0.9884892024763039	0.9944414552614176	0.9833908123895391	0.9929032646852696	0.9929125482309609
0.9995025617601943	0.999994825708946	1	0.9988904147860204	0.9988930122363986	0.9989032813483968	0.9942294935396637	0.9884783892830481	0.994432035222932	0.9833788476347399	0.9928928663406399	0.9929021805020228
0.998535137617826	0.9989006513620606	0.9988904147860204	1	0.9999961355603297	0.9999765799323933	0.9940586397030112	0.9883131938480926	0.994261518586404	0.983300515875767	0.9928075678174259	0.9928166765339086
0.9985178515938716	0.9988993205196703	0.9988930122363986	0.9999961355603297	1	0.9999877961457219	0.9940538708917501	0.9883084795277608	0.9942566526734211	0.9832954268881745	0.9928022035093541	0.9928112843756015
0.9985143147829014	0.9989014692872066	0.9989032813483968	0.9999765799323933	0.9999877961457219	1	0.9940450407625377	0.9882971595235068	0.9942476704777409	0.9832739900865982	0.9927833801670153	0.9927927116777646
0.994421812167448	0.9942386822438288	0.9942294935396637	0.9940586397030112	0.9940538708917501	0.9940450407625377	1	0.993683706084235	0.99980355562084	0.9891910530623977	0.9988530460851622	0.9989099650367728
0.9886744749274661	0.9884892024763039	0.9884783892830481	0.9883131938480926	0.9883084795277608	0.9882971595235068	0.993683706084235	1	0.99391983616567	0.9895525332333561	0.9930526667266915	0.9930403036826212
0.9946254956581946	0.9944414552614176	0.994432035222932	0.994261518586404	0.9942566526734211	0.9942476704777409	0.99980355562084	0.99391983616567	1	0.9894950923834754	0.9990930451112807	0.9991059175111016
0.9835745047071969	0.9833908123895391	0.9833788476347399	0.983300515875767	0.9832954268881745	0.9832739900865982	0.9891910530623977	0.9895525332333561	0.9894950923834754	1	0.9903965367711004	0.990373200938894
0.9930856171009671	0.9929032646852696	0.9928928663406399	0.9928075678174259	0.9928022035093541	0.9927833801670153	0.9988530460851622	0.9930526667266915	0.9990930451112807	0.9903965367711004	1	0.9999911011233331
0.9930946817830762	0.9929125482309609	0.9929021805020228	0.9928166765339086	0.9928112843756015	0.9927927116777646	0.9989099650367728	0.9930403036826212	0.9991059175111016	0.990373200938894	0.9999911011233331	1
