pca_popkin_rom	pca_wg_rom	pca_std_rom	pca_popkin_mor	pca_wg_mor	pca_std_mor	lmm_popkin_rom	lmm_wg_rom	lmm_std_rom	lmm_popkin_mor	lmm_wg_mor	lmm_std_mor
1	0.9981820810502949	0.9979823936628075	0.9940145122266749	0.9939468597563337	0.9939465050569563	0.9747576464956869	0.9748518539202196	0.9749670638033493	0.964978380711224	0.9652323973585912	0.9652473127354543
0.9981820810502949	1	0.9999746607300437	0.9954008116307798	0.9953910779775179	0.995402424693514	0.9741834769124453	0.9742716977258808	0.9743894129323235	0.9644470565525693	0.9647000836121762	0.96471609589219
0.9979823936628075	0.9999746607300437	1	0.9953513686304764	0.9953580211144462	0.9954122176236873	0.9741438541962705	0.9742318489866882	0.9743492779097538	0.9644043350731217	0.9646588732306256	0.964674972504708
0.9940145122266749	0.9954008116307798	0.9953513686304764	1	0.9999826885837776	0.9998781918761669	0.9739455458828707	0.9740255033902713	0.9741426670588654	0.9646562444157193	0.9649076882919809	0.9649242483779199
0.9939468597563337	0.9953910779775179	0.9953580211144462	0.9999826885837776	1	0.9999289773968855	0.97392475195534145	0.9740044895923892	0.9741216564961981	0.9646337982895787	0.9648853909358838	0.9649018210141008
0.9939465050569563	0.995402424693514	0.9954122176236873	0.9998781918761669	0.9999289773968855	1	0.9738694619269794	0.9739487661503204	0.9740652812872841	0.9645283567374021	0.9647826955012563	0.9648000152490287
0.9747576464956869	0.9741834769124453	0.9741438541962705	0.9739455458828707	0.97392475195534145	0.9738694619269794	1	0.9997501681901407	0.9998283421259367	0.9943188858238198	0.9946621527774301	0.9947149785531721
0.9748518539202196	0.9742716977258808	0.9742318489866882	0.9740255033902713	0.9740044895923892	0.9739487661503204	0.9997501681901407	1	0.9999480474368824	0.9945360442030513	0.9946575920572824	0.9946513075327712
0.9749670638033493	0.9743894129323235	0.9743492779097538	0.9741426670588654	0.9741216564961981	0.9740652812872841	0.9998283421259367	0.9999480474368824	1	0.9944227370528367	0.9946942621822231	0.9947223244652408
0.964978380711224	0.9644470565525693	0.9644043350731217	0.9646562444157193	0.9646337982895787	0.9645283567374021	0.9943188858238198	0.9945360442030513	0.9944227370528367	1	0.9997168644232652	0.9996642957357412
0.9652323973585912	0.9647000836121762	0.9646588732306256	0.9649076882919809	0.9648853909358838	0.9647826955012563	0.9946621527774301	0.9946575920572824	0.9946942621822231	0.9997168644232652	1	0.9999798803041277
0.9652473127354543	0.96471609589219	0.964674972504708	0.9649242483779199	0.9649018210141008	0.9648000152490287	0.9947149785531721	0.9946513075327712	0.9947223244652408	0.9996642957357412	0.9999798803041277	1
