Popkin	Weir-Goudet	Standard	Popkin	Weir-Goudet	Standard	Popkin	Weir-Goudet	Standard	Popkin	Weir-Goudet	Standard
1	0.5548395878084754	0.5361996830541984	0.3572221263176402	0.3546542348080642	0.35161275198406094	0.08723667065023326	0.08907623250590335	0.08917074022346369	0.07435562510798825	0.07436950159822611	0.07443312467603524
0.5548395878084754	1	0.9883237958624265	0.44476972834631145	0.4474050040000684	0.44813565316302373	0.08722819107818267	0.08900155773192073	0.08910543352372279	0.07440740944052136	0.07441300683656234	0.07446317642326393
0.5361996830541984	0.9883237958624265	1	0.43623776694494665	0.441178989787002	0.45299827848575136	0.08723633519943198	0.0890296167043576	0.08912961391465861	0.07440472772987794	0.07441083807057218	0.07447208546197866
0.3572221263176402	0.44476972834631145	0.43623776694494665	1	0.9928517202993797	0.898911576440902	0.08670698510691482	0.08844525428047277	0.08855228865343587	0.074277994255762	0.07428393361057582	0.07435222719191237
0.3546542348080642	0.4474050040000684	0.441178989787002	0.9928517202993797	1	0.9456217024183091	0.08671770315982906	0.08846209294017175	0.08855033741859253	0.0742948315876717	0.07429620843910942	0.07437247520992485
0.35161275198406094	0.44813565316302373	0.45299827848575136	0.898911576440902	0.9456217024183091	1	0.0867360881760858	0.08845833134604776	0.08857187209500095	0.07432506832512772	0.07432201765429511	0.07438138424863958
0.08723667065023326	0.08722819107818267	0.08723633519943198	0.08670698510691482	0.08671770315982906	0.0867360881760858	1	0.736619711212257	0.7234225648944537	0.13698787688996153	0.13729001877138328	0.13763017135411323
0.08907623250590335	0.08900155773192073	0.0890296167043576	0.08844525428047277	0.08846209294017175	0.08845833134604776	0.736619711212257	1	0.9847641698747195	0.14092463010656314	0.14094871074972148	0.14099499129821302
0.08917074022346369	0.08910543352372279	0.08912961391465861	0.08855228865343587	0.08855033741859253	0.08857187209500095	0.7234225648944537	0.9847641698747195	1	0.14059515003608497	0.1406258987497143	0.1411386472725702
0.07435562510798825	0.07440740944052136	0.07440472772987794	0.074277994255762	0.0742948315876717	0.07432506832512772	0.13698787688996153	0.14092463010656314	0.14059515003608497	1	0.9999627631908112	0.8623172039817649
0.07436950159822611	0.07441300683656234	0.07441083807057218	0.07428393361057582	0.07429620843910942	0.07432201765429511	0.13729001877138328	0.14094871074972148	0.1406258987497143	0.9999627631908112	1	0.8673400877917619
0.07443312467603524	0.07446317642326393	0.07447208546197866	0.07435222719191237	0.07437247520992485	0.07438138424863958	0.13763017135411323	0.14099499129821302	0.1411386472725702	0.8623172039817649	0.8673400877917619	1
