Popkin	Weir-Goudet	Standard	Popkin	Weir-Goudet	Standard	Popkin	Weir-Goudet	Standard	Popkin	Weir-Goudet	Standard
1	0.5868782188401871	0.5686640221520098	0.40772947275510407	0.4051171448600696	0.4020232336930845	0.10533066902321027	0.1160017530092726	0.11601870716466048	0.08596281424581005	0.08606901169152796	0.08598559076772447
0.5868782188401871	1	0.993918186227706	0.49283396521515327	0.49505389068519506	0.4958142006477501	0.10549514007438597	0.11607214881514284	0.11608214673636714	0.08607176185689563	0.08615834151495054	0.08607935703737567
0.5686640221520098	0.993918186227706	1	0.4850984178807107	0.48960785831208814	0.4997494310363912	0.10549514907341498	0.11605912722017295	0.11610515725353235	0.08607100593845925	0.08615892645183584	0.08609005688286234
0.40772947275510407	0.49283396521515327	0.4850984178807107	1	0.9968246656185797	0.9101506797416559	0.10524164170570315	0.11569139655928316	0.11572166027176634	0.0863745252216997	0.08645315867982577	0.08639030950706855
0.4051171448600696	0.49505389068519506	0.48960785831208814	0.9968246656185797	1	0.9512513959743744	0.10527423191037687	0.11571657018207736	0.11574868771659538	0.0863714565198415	0.08645685730509678	0.08639127238171002
0.4020232336930845	0.4958142006477501	0.4997494310363912	0.9101506797416559	0.9512513959743744	1	0.10528856736358147	0.11574035461573697	0.11577564880749368	0.08639662680396785	0.08648590617072417	0.08641788251047712
0.10533066902321027	0.10549514007438597	0.10549514907341498	0.10524164170570315	0.10527423191037687	0.10528856736358147	1	0.5989512321982315	0.5866387975516213	0.15735877818632082	0.15712621460568396	0.15694649165906271
0.1160017530092726	0.11607214881514284	0.11605912722017295	0.11569139655928316	0.11571657018207736	0.11574035461573697	0.5989512321982315	1	0.9959454082100955	0.15437389427913747	0.15405943311502376	0.15380467862779929
0.11601870716466048	0.11608214673636714	0.11610515725353235	0.11572166027176634	0.11574868771659538	0.11577564880749368	0.5866387975516213	0.9959454082100955	1	0.15418704432602096	0.1538758227103142	0.15385810418027726
0.08596281424581005	0.08607176185689563	0.08607100593845925	0.0863745252216997	0.0863714565198415	0.08639662680396785	0.15735877818632082	0.15437389427913747	0.15418704432602096	1	0.9357071304260186	0.8496823892749351
0.08606901169152796	0.08615834151495054	0.08615892645183584	0.08645315867982577	0.08645685730509678	0.08648590617072417	0.15712621460568396	0.15405943311502376	0.1538758227103142	0.9357071304260186	1	0.9068729719077161
0.08598559076772447	0.08607935703737567	0.08609005688286234	0.08639030950706855	0.08639127238171002	0.08641788251047712	0.15694649165906271	0.15380467862779929	0.15385810418027726	0.8496823892749351	0.9068729719077161	1
